candidate_id,document_id,source_id,title,url,publication_date,sector_hint,lga_hint,excerpt,review_status,review_reason,reviewed_by,reviewed_at,review_notes
candidate-89aec627d08a,delivery-89aec627d08a,source-campaign-home,Dr. Yakubu Adamu | Political Campaign,https://yakubuadamuphd.com/en,,infrastructure,Bauchi,"Dr. Yakubu Adamu for Bauchi State Governor A Vision for Progress Join Dr. Yakubu Adamu in building a brighter future for our Bauchi. Campaign Trail Scholarships Volunteer Today Your browser does not support the video tag. Welcome Address A Message from Dr. Yakubu Adamu ""Good people of Bauchi, I stand before you not just as a candidate, but as a partner in our shared journey toward a more prosperous future. Our vision is built on the pillars of security, education, and infrastructure—foundations that will uplift every family and empower every youth in our great state."" ""Together, we can build a Bauchi where opportunity is not a privilege, but a right for all. I invite you to join us in this m",context_only,Campaign or party context; no completed achievement claim,opencode-review,2026-09-24,Campaign or party context; no completed achievement claim
candidate-6fcb456fbde2,delivery-6fcb456fbde2,source-apm-home,Home - APM: Allied People's Movement,https://apm.org.ng/,2024-06-16,security,,"Plot 232, No. 2, Leventis Building, CBD, Abuja.-Nigeria. +1-(314) 892-2600 info@apm.org.ng Home About Services Resources News Home About Services Resources News Contact Us Contact Us Name Email Message Send Edit Template Counting Down to General election 2027 16th January - 6th February 2027 APM Mission The mission of Allied Peoples' Movement is to promote good governance, empower citizens, and build a better future for all Nigerians. APM Vision The vision of APM is to build a united, peaceful, and prosperous Nigeria driven by good leadership, equality, and sustainable development. APM Constitution The constitution of Allied Peoples' Movement outlines the party’s principles, structure, rules",context_only,Campaign or party context; no completed achievement claim,opencode-review,2026-09-24,Campaign or party context; no completed achievement claim
candidate-e421cbace82c,delivery-e421cbace82c,source-basg-health,"UNICEF Offers Free Maternal, Child Health Services In Bauchi – Bauchi State Government",https://home.bauchistate.gov.ng/unicef-offers-free-maternal-child-health-services-in-bauchi/,2026-07-02,health,Bauchi,"The United Nations Children’s Fund (UNICEF) has appealed to caregivers in Bauchi state to take full advantage of the ongoing Integrated Maternal, Newborn and Child Health (MNCH) Week by bringing eligible children and family members to access free healthcare services. Commenting on the MNCH yesterday, the chief of UNICEF’s Bauchi Field Office, Dr Nuzhat Rafique, said the weeklong intervention is aimed at providing essential healthcare services at no cost to newborns, children, adolescent girls, pregnant women and nursing mothers across more than 600 primary healthcare facilities in the state. She explained that the initiative was designed to improve maternal and child health outcomes by provi",published_source,Source supports a published achievement; verify new claims before promotion,opencode-review,2026-09-24,Source supports a published achievement; verify new claims before promotion
candidate-85612f150c52,delivery-85612f150c52,source-basg-nutrition,"Bauchi Govt, UNICEF Commit N1bn To Tackle Malnutrition, Distribute Therapeutic Food – Bauchi State Government",https://home.bauchistate.gov.ng/bauchi-govt-unicef-commit-n1bn-to-tackle-malnutrition-distribute-therapeutic-food/,2026-06-30,health,Bauchi,"The Bauchi State Government has intensified efforts to combat child malnutrition by expanding its nutrition programme, following growing concerns that rising poverty and inflation are worsening malnutrition among children across the state. Executive Chairman of the Bauchi State Primary Healthcare Development Board, Dr. Rilwanu Mohammed, said the worsening economic situation has left many families struggling to provide adequate nutrition for their children, prompting the government to strengthen its partnership with the United Nations Children’s Fund (UNICEF) and the Child Nutrition Fund (CNF). Speaking while briefing journalists on the distribution of Ready-to-Use Therapeutic Food (RUTF) for",published_source,Source supports a published achievement; verify new claims before promotion,opencode-review,2026-09-24,Source supports a published achievement; verify new claims before promotion
candidate-703d89cea88e,delivery-703d89cea88e,source-basg-sazu,NUC Approves 12 New Academic Programmes for Sa’adu Zungur University Bauchi – Bauchi State Government,https://home.bauchistate.gov.ng/nuc-approves-12-new-academic-programmes-for-saadu-zungur-university-bauchi/,2026-07-02,education,Bauchi|Itas-Gadau,"The Bauchi State Government-owned Sa’adu Zungur University (SAZU), Gadau, has recorded another significant milestone in its academic development with the approval of 12 new undergraduate and postgraduate programmes by the National Universities Commission (NUC). The approval, conveyed in a letter dated 15th June 2026, followed a comprehensive resource assessment exercise conducted by the Commission to ascertain the University’s preparedness in terms of academic personnel, physical infrastructure, library holdings, laboratories, and other facilities required for the successful delivery of the proposed programmes. The programmes, approved to commence in the 2026/2027 Academic Session, are: Unde",published_source,Source supports a published achievement; verify new claims before promotion,opencode-review,2026-09-24,Source supports a published achievement; verify new claims before promotion
candidate-c4cc5f93eb6e,delivery-c4cc5f93eb6e,source-acresal,"Bauchi State Governor Launches ACReSAL Project, Plans to Construct Over 100 Earth Dams Across the State - ACReSAL",https://acresal.gov.ng/bauchi-state-governor-launches-acresal-project-plans-to-construct-over-100-earth-dams-across-the-state,2023-05-26,wash,Bauchi,"Home About Us Management Team ACReSAL GIS States North Central Benue FCT Kogi Kwara Nasarawa Niger Plateau North East Adamawa Bauchi Borno Gombe Taraba Yobe North West Jigawa Kaduna Kano Katsina Kebbi Sokoto Zamfara Academy Global Classroom Lectures FAQ Glossary Media News Stories Publications Gallery Video Gallery Contact Us Bauchi State Governor Launches ACReSAL Project, Plans to Construct Over 100 Earth Dams Across the State May 26, 2023 Bauchi Featured News The Bauchi State Government on Friday, 26th May 2023, officially launched the implementation of Agro-Climatic Resilience in Semi-Arid Landscapes (ACReSAL) Project in line with the state government efforts to increase landscapes restor",published_source,Source supports a published achievement; verify new claims before promotion,opencode-review,2026-09-24,Source supports a published achievement; verify new claims before promotion
candidate-c879749ea814,delivery-c879749ea814,source-basg-mtss,Bauchi Govt Begins Development of 2026–2028 Medium-Term Sector Strategy in Key Service Areas – Bauchi State Government,https://home.bauchistate.gov.ng/bauchi-govt-begins-development-of-2026-2028-medium-term-sector-strategy-in-key-service-areas,2025-08-18,wash,Bauchi,"The Bauchi State Government has commenced the development of its 2026–2028 Medium-Term Sector Strategy (MTSS), focusing on Education, Health, Agriculture, and Water, Sanitation and Hygiene (WASH), as part of efforts to enhance service delivery. The four-day session, which began on Monday, August 18, 2025, was organized by the State Ministry of Budget, Economic Planning and Multilateral Coordination with support from UNICEF Bauchi Field Office. It drew participants from relevant Ministries, Departments and Agencies (MDAs), Civil Society Organizations, and other key stakeholders. Declaring the session open, the Permanent Secretary of the Ministry, Jibrin Muhammad Yusuf, commended participants ",published_source,Source supports a published achievement; verify new claims before promotion,opencode-review,2026-09-24,Source supports a published achievement; verify new claims before promotion
candidate-f109c3e293fe,delivery-f109c3e293fe,discovery-f109c3e293fe,News Room – Bauchi State Government,https://home.bauchistate.gov.ng/news-room/,2026-07-02,health,Bauchi,"UNICEF Offers Free Maternal, Child Health Services In Bauchi July 2, 2026 The United Nations Children’s Fund (UNICEF) has appealed to caregivers in Bauchi state to take full advantage of the ongoing Integrated Maternal, Read More",duplicate_source,News index duplicate; underlying article is already represented by a published source,opencode-review,2026-09-24,News index duplicate; underlying article is already represented by a published source
candidate-9c036850db70,delivery-9c036850db70,discovery-9c036850db70,News Room – Page 2 – Bauchi State Government,https://home.bauchistate.gov.ng/news-room/page/2,2026-07-02,health,Bauchi,"UNICEF Offers Free Maternal, Child Health Services In Bauchi July 2, 2026 The United Nations Children’s Fund (UNICEF) has appealed to caregivers in Bauchi state to take full advantage of the ongoing Integrated Maternal, Read More",duplicate_source,News index duplicate; underlying article is already represented by a published source,opencode-review,2026-09-24,News index duplicate; underlying article is already represented by a published source
candidate-99bbe9371511,delivery-99bbe9371511,discovery-99bbe9371511,News Room – Page 3 – Bauchi State Government,https://home.bauchistate.gov.ng/news-room/page/3,2026-07-02,health,Bauchi,"UNICEF Offers Free Maternal, Child Health Services In Bauchi July 2, 2026 The United Nations Children’s Fund (UNICEF) has appealed to caregivers in Bauchi state to take full advantage of the ongoing Integrated Maternal, Read More",duplicate_source,News index duplicate; underlying article is already represented by a published source,opencode-review,2026-09-24,News index duplicate; underlying article is already represented by a published source
