raw_id,source,language_label,sentiment_label,sentiment_confidence,mentions_candidate_probability,intensity_score,lga_relevance_label,opposition_signal_probability,routing_decision,schema_version,model,text,human_sentiment,human_intensity,human_lga,human_mentions,human_opp,human_language
nairaland-fa8ce02186a8,nairaland,mixed,not_about_candidate,0.4,0.03,strong,unclear,0.07,human_review,v3,jev-1.13.0,"phemmie06 : You have the biggest task, that has become a burden over you, look at the way you open your mouth mentioning my family. Ọmọ ire kàn o kin bu molebi ẹlòmíràn. Ori e buru. So you know all these and you're insulting me.",,,,,,
nairaland-70a6a0c34e7c,nairaland,mixed,not_about_candidate,0.41,0.03,strong,unclear,0.64,human_review,v3,jev-1.13.0,Obaofaba : We still need you in Abuja my boss. Keep transforming the city. You are a product of the City Boys Movement. City boys movement of which year? This Tinubu's people and their lying condition is really getting out of hand. How can a region tell lies for fun abeg. Nawao! 🤣🤣🤣🤣🤣🤣🤣🤣🤣,,,,,,
nairaland-0c47c9c0a6d6,nairaland,mixed,not_about_candidate,0.86,0.02,strong,unclear,0.61,auto,v3,jev-1.13.0,"ddippset : NoYou should have sense enough to know that having no polling agents is not a prerequisite for fair election, neither is it a proof of fair election. In a country, not in an animal society. In a country where people behave like higher animals not lower animals, you don't need agents for the electoral commission to conduct proper elections. Your assertion is flawed and your logic st1nks. define free and fair election? Obi won his 5plot region with over 100% vote yet no cry of rigging or inec glitch except in other regions where he was rejected at the polls……how convenient even though we all knew SE region recored voter intimidation and vote buying but as usual, Una go always claim to be the victim",,,,,,
nairaland-c0ced73b9ece#1,nairaland,english,not_about_candidate,0.99,0.02,very_strong,unclear,0.37,auto,v3,jev-1.13.0,"Re: Tinubu Himself Already Told Us Not To Vote For Him, If…. - Seyi Makinde by Sike ( m ): 6:28am Mmm KingOfAmebo : Tinubu said it loud and clear that if he doesn't give us 24 hours power supply we SHOULD NOT vote for him...Do we now have 24 hours power supply? NO...Have Aso Rock installed Solar power to supply Tinubu electricity because he failed to give even Aso Rock 24 electricity? YES. Meanwhile, out of the obvious failure by the APC government, they have NOTHING to campaign with but to launch attacks at Peter Obi out of desperation... Let me quickly press the necks of APC supporters with Peter Obi's achievements as Governor in Anambra state:... APC media team should read the below CV of Peter Obi with a chilled bottle of sniper, please read to the end...ok? NAME : Mr. Peter Gregory OBI, (CON) DATE OF BIRTH : 19th July 1961 PLACE OF BIRTH: Onitsha, Nigeria NATIONALITY: Nigerian MARITAL STATUS: Married with two children EDUCATIONAL INSTITUTIONS ATTENDED · Christ the King College, Onitsha (W.A.S.C.) . University of Nigeria, Nsukka (B.A. Philosophy) · Lagos Business School, Nigeria (Chief Executive Program) · Harvard Business School, Boston, U.S.A. (Mid to Mid Marketing) · Harvard Business School, Boston, U.S.A. (Changing the Game) · London School of Economics (Financial Mgmt/Business Policy) · Columbia Business School, New York, U.S.A. (Marketing Mgmt ) · Institute for Management Development, Switzerland (Senior Executive Program) · Institute for Management Development, Switzerland (Break-Through Program for CEOs) · Kellogg Graduate School of Management, U.S.A. (Advanced Executive Program) · Kellogg School of Management U.S.A. (Global Advanced Mgmt Program) . Oxford University: Said Business School, (Advanced Mgmt& Leadership Program) . Cambridge University: George Business School (Advanced Leadership Program) PREVIOUS POSITIONS · Governor, Anambra State of Nigeria (2006-2014) · Honorary Special Adviser to the President on Finance (till May, 2015) · Member, Presidential Economic Management Team (till May, 2015) · Vice-Chairman, Nigeria Governors’ Forum (2008-2014) · Chairman, South-East Governors’ Forum (2006-2014) . Former Chairman: Board of Securities and Exchange Commission (SEC) · Former Chairman: Fidelity Bank Plc. · Former Chairman: Guardian Express Mortgage Bank, Ltd. · Former Chairman: Future Views Securities, Ltd. · Former Chairman: Paymaster Nigeria Plc. · Former Chairman: Next International (Nigeria) Ltd · Former Director: Guardian Express Bank Plc. · Former Director: Chams Nigeria Plc. · Former Director: Emerging Capital Ltd · Former Director: Card Centre Plc MEMBERSHIP OF PROFESSIONAL ASSOCIATIONS/ORGANIZATIONS · Member, Nigerian Economic Summit Group (NESG) · Member, Nigerian Chartered Institute of Bankers · Member, British Institute of Directors (IOD) MEMBERSHIP OF FEDERAL GOVERNMENT COMMITTEES In my capacity as the Governor of Anambra State, I served as a member of: *Federal Government Committee on Minimum Wage *Federal Government Committee on Negotiation with Labour on Subsidy *Federal Government Committee on Mass Transit *Federal Government Committee on Natural Resource *National Economic Council Committee on Power Sector Reform *National Economic Council Committee on Sharing of MDGs Funds *National Economic Council Committee on Accurate Data on Nigeria’s Oil Import and Export *Agricultural Transformation Implementation Council *Sub-Committee on Needs Analysis of Public Universities in Nigeria *National Economic Council Review Committee on the Power Sector AWARDS & RECOGNITIONS 2015: Golden Jubilee Award from Catholic Diocese of Onitsha for outstanding contribution to quality healthcare delivery in St. Charles Borromeo Hospital in particular and Anambra State in general, on the occasion of the Golden Jubilee celebration of the hospital. *2014: Nigerian Library Association Golden Merit Award for remarkable improvement of libraries in Anambra State, exemplified by our Government's construction of the Kenneth Dike Digital State Library, remarkable upgrade of the Onitsha Divisional Library, and provision of library facilities in secondary schools across the State. *2014: Champion Newspaper Most Outstanding Igbo Man of the Decade. * 2014 The Voice Newspaper (Holand) Achievers Award for Outstanding Example in Leadership and Governance. *2013: Silver Bird Man of the Year (with Governor BabatundeFashola of Lagos State). *2012: Business Hallmark Newspaper Man of the Year. *2012: The Golden Award on Prudence – by the Methodist Church of Nigeria as the Most Financially Prudent Governor in Nigeria. * 2012: Leadership and Good Governance Award by The Ezeife Leadership Foundation Award for restoring peace and harmony to Anambra State. * 2012: Best Performing Governor on Immunization in South-East Nigeria – by Bill & Melinda Gates Foundation. * 2012: Outstanding Financial Planner and Manager – by the Church of Nigeria, Anglican Communion for my resourcefulness and creativity in governance. *2011: Zik Leadership Prize. *2010: ICT Governor of the Year – by the West Africa ICT Development Award. *2009: Champion Newspaper Nigeria’s Most Trustworthy Governor Award. *2009: Thisday Newspaper Most Prudent Governor in Nigeria. *2007: The Sun Newspaper Man of the Year Award. **The Nigerian MDGs Office/UNDP Best Governor in the Implementation of the MDGs in Nigeria NTRODUCTION OF CONSTITUTIONAL AND OTHER MAJOR CHANGES IN NIGERIAN POLITICS *He was the first gubernatorial candidate in Nigeria to legally challenge to its logical conclusion, his governorship electoral victory that was denied him. He won in the Courts and reclaimed his mandate. *He was the first Governor in Nigeria to legally challenge his wrongful impeachment and was reinstated by the Courts. *He was the first Governor in Nigeria to seek the interpretation of tenures of Governors when INEC allowed elections to take place in Anambra State when his tenure had not expired; the election already concluded was cancelled and he was allowed to complete his tenure. *He was the first Governor to serve a 2nd term in both the new and old Anambra State, that is, almost 40 years after creation of the State. *He was the first Governor, whilst still in Office, to be appointed a Special Adviser to the President. *He was the first serving Governor to be appointed into the Presidential Economic Management Team. *He was among the first Governors to be honoured with a National Award in 2011, while still in office. *Though the only Governor whose political party was in government in only one State, he was elected Vice-Chairman of the Nigeria Governors’ Forum twice. *Though the only non-PDP Governor in the South-East (made up of 5 States), he was elected by the other 4 PDP Governors as their Chairman for 8 years rather than the usual one year. FUNDAMENTAL ACHIEVEMENTS AS GOVERNOR OF ANAMBRA STATE (PARTIAL LISTING) 1. Anambra was the first State to commence Sub-Sovereign Wealth savings, the first of its kind in Sub-Saharan Africa. At a time many other Governors were leaving huge debts, I left the equivalent of $500 million Dollars in investment as well as local and foreign currency, including $156 million in Dollar-denominated bonds. 2. For the first time in the history of Anambra State, Ambassadors and High Commissioners of notable countries such as United States, Britain, Russia, European Union, South Africa, Belgium, Israel, the Netherlands, Canada, among others, visited the State. Before my tenure, Anambra was practically a pariah state blacklisted by the Diplomatic Corps and international development partners. 3. Development partners such as UNDP, UNICEF, the World Bank, DFID, the European Union etc., which hitherto were not in Anambra State started working with the State. Anambra was consistently adjudged one of the best states in development partnership and commitment to reforms for good governance. 4. He was recognised as Best Governor by the Millennium Development Goals Office (OSSAP-MDGs) and the UNDP in the implementation of their programmes in Nigeria. 5. The Nigerian Debt Management Office (DMO) rated Anambra as the least indebted state in Nigeria. In spite of visible and measurable achievements recorded in various sectors, the State under him did not borrow or raise bonds for her various projects. 6. The Senate of the Federal Republic of Nigeria rated Anambra State as the most financially stable state in the country. 7. The State's ground-breaking return of schools to their original owners - Voluntary Agencies (Churches) on 1st January 2009, and subsequent partnership with the Agencies in Education, saw the State move from 24th position out of 36 States to Number One in National Examination Council (NECO) and West African Examination Council (WAEC) examinations for three consecutive years. This made the World Bank to commission a study, led by the renowned Prof. Paul Collier of Oxford University, on this revolutionary partnership and phenomenal achievement. 8. The State also entered into strategic partnership with the Churches in the Health sector. This symbiotic relationship resulted in a tremendous boost to health care because of the services offered by health institutions owned by Voluntary Agencies, while the State restored grants to the agencies and made available to them more than 50 million Dollars in various types of support. 10. Through partnership with the Church in the Health sector, his Government funded the transformation of -: a: Iyienu Hospital, Ogidi; b: Our Lady of Lourdes Hospital, Ihiala; c: St Charles Borromeo Hospital, Onitsha; d: Holy Rosary Hospital, Waterside, Onitsha; and e: St. Joseph Hospital, Adazi-Nnukwu. His Government also built the Joseph Nwilo Heart Centre in St. Joseph, Adazi-Nnukwu, where heart operations are now being performed. 11. His Government won the Bill and Melinda Gates Foundation (1 Million dollars) as the best-performing state in immunisation in the South-East. With complementary funding from our Government, they used the money to build 10 Maternal and Child Care Centres across the State, particularly in rural communities, in partnership with the Churches. 12. The State was the first to procure and distribute more than 30,000 computers to secondary schools, including 22,500 from HP. The Managing Director for Personal Systems Group HP Inc, Mr. FabriceCampoy described the deployment as the biggest of such projects in the Middle-East and Africa. 13. Anambra State Government provided Microsoft Academies to more than 500 secondary schools, which the Head of Microsoft in Nigeria (Mr. Ken Span) described as the biggest such deployment in Africa so far. 14. The State provided Internet access to more than 500 secondary schools, which the CEO of Galaxy Backbone (Mr. Gerald Ilukwe) characterized as incomparable to any in the country. 15. More than 700 buses were provided to secondary schools in the State by our Government. 16. Boreholes were provided in schools all over the State. 17. Numerous classrooms were built in all the 177 communities of the State. 18 As part of the efforts to turn around the economy of the State, a number of companies were attracted to build their facilities in the Anambra State. A case in point is SABMiller, the 2nd largest brewery in the world, which built their first Green Field facility in the State, which is today one of the most successful facilities they operate globally. 19. A number of other companies followed the SABMiller initiative and were all supported and encouraged under our Government; a good example is INNOSON Motor Manufacturing Company, from which our government bought more than 1,000 vehicles. 20. Anambra State for the first time started close collaboration with recognized government security agencies (the Police, Army, Navy, Department of State Security, Civil Defence, among others), offering them various types of support including provision of more than 500 security vehicles. The improvement in security was phenomenal, such that the former IG of Police (Abubakar Mohammed) lauded Anambra State for not witnessing any bank robbery in my last three years in office. 21. To further enhance security, Anambra State provided at least one security vehicle to each of all the 177 communities in the State as well as various organizations such as markets and Churches. 22. His Administration conceived and built, from scratch, the first state-owned Teaching Hospital, Chukwuemeka Odumegwu-Ojukwu teaching Hospital, Awka. 23. His Government commenced the planned development of the Igbariam Campus of the ChukwuemekaOdumegwu-Ojukwu University, including the fencing, construction of internal roads, electrification, construction of the Faculty of Law, Auditorium, Administrative Block, Faculty of Agriculture, Management Building, among others). 24. His Government attracted the World Bank support on erosion - National Erosion and Watershed Management Project (NEWMAP) - to Anambra State. 25. His Government was the first to do Poverty Mapping in Nigeria, as a guide for the effective implementation of our poverty-alleviation strategies. 26 His Government, for the first time, undertook the aerial mapping of Awka as well as the production of Structure Plans for Awka Capital Territory, Onitsha and Nnewi. 27. During his tenure and with his Government's support, Anambra State became an oil producing State. 28. He built the first Secretariat Complex to house State Government Ministries that were hitherto scattered around the State. 29. His government commenced the development of the 'Three Arms Zone' comprising Government House/Governor’s Lodge, Legislative Building/Speakers Residence, and Judiciary Building with Chief Judge’s Residence. 30. By the end of his tenure in 2014, more than twelve (12) health institutions, including two hospitals, had secured accreditation; when we took off in 2006, no health institution in Anambra State was duly accredited. 31. Anambra State was the first to undergo national peer review, which scrutinised State Governments for good governance, through the State Peer Review Mechanism (SPRM), an initiative of the Nigerian Governors’ Forum in collaboration with the DFID.. TAKE AWAY: 1. He ran the most secured state in Nigeria during his tenure. Former IGP Abubarkar gave him 5 years accollades of the most secured state back to back for 5 years. 2. The minister of works then gave him the best accolade of a governor that built 800km of road network in 8years 3. Educationally , He met Anambra at 26th position in 2006 and left it at 1st by 2014 when he was leaving. 4. He was the only governor that met the millennium development goal in Nigeria in both education and health. In fact , Milinda and bill gate foundation gave him a personal gift of 1 million dollar for his achievement. Which he dropped in the state account rather than putting in his own private account. 5. He is the only former governor today that does not collect pension, gratuity, land gift and allowances since he left the govt in 2014. 6. When he became SEC chairman under President Jonathan, he told SEC to hold back all his allowance and entitlement as a Board chairman . He left without nothing. He said he does not need them. When he was chairman of fidelity bank , he was entitled to two brand new cars annually. He told the board. I don't need them. Let me just come for meetings and go home. You can only be angry with him. You cannot change the facts. Here's a link to some projects executed and completed by Peter Obi as governor of Anambra State? https://www.nairaland.com/7313723/some-projects-done-peter-obi Go and verify and vote wisely...",,,,,,
nairaland-57f232295e24,nairaland,english,not_about_candidate,0.72,0.03,strong,unclear,0.09,human_review,v3,jev-1.13.0,"LadiIshola : Did you report the quoted message too? Cos he only returned the insult. Dunno why you guys hate to be truthful in your lives! What do you mean by 'you guys'? huh! He reported the quoted person, then I also reported him. Get your facts right and stop embarrassing yourself.",,,,,,
nairaland-0793a221421e,nairaland,mixed,not_about_candidate,0.99,0.01,strong,unclear,0.74,auto,v3,jev-1.13.0,"AMINDA : Lol. Isn't this too much ""agidi"" for a man that cannot win his own state of origin without begging the opposition givernor for an endorsement? I thought Tinubu was Awolowo's reincarnate? You all said worse than this about Adeleke and kept chanting ""defeat is imminent"" until he dealt Tinubu and the entire APC machinery a decisive blow. The tune has now changed to ""Tinubu supported Adeleke"" and ""Adeleke please remember your promise. Agreement is agreement"". Have you all got no shame? Seyi Makinde is the new project now but the tune will change to begging if he defeats your Tinubu as he is definitely set to do. No be una again? Tinubu has being demystified. From grandstanding, he has now being reduced to begging Adeleke for an endorsement. All these is happening within his own Southwest o. We haven't even spoken about his popularity in other regions. Tell Tinubu to focus on winning the Southwest first. Tinubu is the first president to be banking on the support of governors to deliver him from defeat. P.S: He better make that call to Seyi Makinde and tender an unreserved apology now before it's too late. Till then.",,,,,,
nairaland-36f68c617457,nairaland,english,not_about_candidate,1.0,0.01,moderate,unclear,0.05,auto,v3,jev-1.13.0,", 2023 Seun : Fellow Nairalanders, We have noticed the use of ethnic slurs and other derogatory names by a small but persistent group of political actors and trolls. This practice of derogatory name-calling adds no value to the forum. It's bad for our mental health, our harmony as a community, and the reputation of Nairaland. It's simply toxic. It's absence and the absence of the people who use those slurs will not be missed. Therefore I have decided to ban the practice entirely. I have instructed dominique, mukina2, Lalasticlala and Mynd44 to ban anyone who uses an ethnic slur or derogatory name on Nairaland. The antispam bot will also contribute to the effort. Please report any case that you see. - Seun Osewa, Founder of Nairaland What of monikers with ethnic slurs. For example, a moniker like YorubasBastards , igboPig, why do u allow such monikers?",,,,,,
nairaland-8a32e436ff93,nairaland,english,positive,0.87,0.08,strong,unclear,0.4,auto,v3,jev-1.13.0,"You can cry from now till... He has my vote,and not 9nly me oooo My entire community gat his back I laughed in yewa voice",,,,,,
nairaland-ce0bf25232c4,nairaland,english,not_about_candidate,1.0,0.02,strong,unclear,0.07,auto,v3,jev-1.13.0,", 2023 Seun : Fellow Nairalanders, We have noticed the use of ethnic slurs and other derogatory names by a small but persistent group of political actors and trolls. This practice of derogatory name-calling adds no value to the forum. It's bad for our mental health, our harmony as a community, and the reputation of Nairaland. It's simply toxic. It's absence and the absence of the people who use those slurs will not be missed. Therefore I have decided to ban the practice entirely. I have instructed dominique, mukina2, Lalasticlala and Mynd44 to ban anyone who uses an ethnic slur or derogatory name on Nairaland. The antispam bot will also contribute to the effort. Please report any case that you see. - Seun Osewa, Founder of Nairaland If you can display the details of the individuals, like their email addresses and their IP devices, we can help you in tracking them to their residence. That way, we can shame them properly.",,,,,,
nairaland-e8f44a075236,nairaland,english,not_about_candidate,0.97,0.02,very_strong,unclear,0.63,auto,v3,jev-1.13.0,"Re: G5 Allowed Obi Win SS To Reduce Atiku's Votes, Won't Happen In 2027 - Wike by discusant : 3:40am Allowed.  In other words,  people's votes don't count for Wike. This man is most likely to live the rest of his life in jail when  Tinubu  leaves office. He steals votes and boasts about that.",,,,,,
