raw_id,sentiment_label,sentiment_confidence,mentions_candidate_probability,intensity_score,lga_relevance_label,lga_confidence,opposition_signal_probability,language_label,language_confidence,routing_decision,schema_version,model
nairaland-a09b4d211ac1,not_about_candidate,0.34,0.03,strong,unclear,1.0,0.34,english,0.98,human_review,v3,jev-1.13.0
nairaland-1731290510d7,not_about_candidate,0.9,0.03,mild,unclear,0.96,0.22,english,0.94,auto,v3,jev-1.13.0
nairaland-c1a3304566c9,not_about_candidate,0.9,0.03,calm,unclear,0.96,0.65,english,0.92,auto,v3,jev-1.13.0
nairaland-368c9dc0e4ac,not_about_candidate,0.58,0.04,calm,unclear,0.74,0.33,english,0.96,human_review,v3,jev-1.13.0
nairaland-814e326dfb8c,not_about_candidate,0.58,0.02,strong,unclear,0.99,0.61,english,0.31,human_review,v3,jev-1.13.0
nairaland-205767464565,not_about_candidate,0.44,0.02,strong,unclear,0.97,0.34,english,0.49,human_review,v3,jev-1.13.0
nairaland-d199b0007c5a,negative,0.52,0.25,strong,unclear,1.0,0.41,english,0.48,human_review,v3,jev-1.13.0
nairaland-8728ca21d6f1,not_about_candidate,0.89,0.05,calm,unclear,0.94,0.31,english,0.95,auto,v3,jev-1.13.0
nairaland-473f1dafbb2b,not_about_candidate,0.93,0.03,calm,unclear,0.94,0.64,english,0.96,auto,v3,jev-1.13.0
nairaland-202f4ee9e29e,positive,0.76,0.12,strong,unclear,1.0,0.95,english,0.9,human_review,v3,jev-1.13.0
nairaland-772ccee175e6,not_about_candidate,0.68,0.07,strong,unclear,1.0,0.2,english,0.62,human_review,v3,jev-1.13.0
nairaland-f6124360e0c2,not_about_candidate,0.99,0.02,moderate,unclear,1.0,0.27,english,0.33,auto,v3,jev-1.13.0
nairaland-07ea6c18e2e7,not_about_candidate,0.94,0.02,strong,unclear,1.0,0.38,mixed,0.85,auto,v3,jev-1.13.0
nairaland-4fa5b8f95373,positive,0.37,0.03,mild,unclear,0.53,0.93,english,0.89,human_review,v3,jev-1.13.0
nairaland-71ca48a2a3f5,not_about_candidate,0.99,0.02,calm,unclear,1.0,0.29,english,0.95,auto,v3,jev-1.13.0
nairaland-04d6547f48fd,not_about_candidate,0.88,0.04,calm,unclear,0.94,0.31,english,0.98,auto,v3,jev-1.13.0
nairaland-f48f6bf2180a,not_about_candidate,0.99,0.02,mild,unclear,1.0,0.37,english,0.39,auto,v3,jev-1.13.0
nairaland-9d812a2351ed,not_about_candidate,0.5,0.03,moderate,unclear,1.0,0.67,english,0.91,human_review,v3,jev-1.13.0
nairaland-92de1eb34d6e,not_about_candidate,0.95,0.02,strong,unclear,1.0,0.35,english,0.97,auto,v3,jev-1.13.0
nairaland-185a313c25d0,not_about_candidate,0.88,0.02,strong,unclear,1.0,0.48,english,0.98,auto,v3,jev-1.13.0
nairaland-38054dfe0da9,not_about_candidate,1.0,0.02,strong,unclear,1.0,0.41,english,0.99,auto,v3,jev-1.13.0
nairaland-c5b405e2a343,not_about_candidate,0.26,0.03,strong,unclear,1.0,0.93,english,0.93,human_review,v3,jev-1.13.0
nairaland-fab68e919731,not_about_candidate,0.96,0.02,strong,unclear,1.0,0.4,mixed,0.51,auto,v3,jev-1.13.0
nairaland-e952c57c0dea,not_about_candidate,0.88,0.02,strong,unclear,1.0,0.5,english,0.99,auto,v3,jev-1.13.0
nairaland-8665be9f5078,not_about_candidate,0.84,0.02,strong,unclear,0.84,0.61,english,0.67,auto,v3,jev-1.13.0
nairaland-43551055a3f0,not_about_candidate,0.99,0.02,strong,unclear,1.0,0.27,english,0.85,auto,v3,jev-1.13.0
nairaland-489fd28af397,not_about_candidate,0.97,0.02,strong,unclear,1.0,0.28,english,0.76,auto,v3,jev-1.13.0
nairaland-b6d414b69409,not_about_candidate,0.66,0.03,mild,unclear,0.92,0.24,english,0.81,human_review,v3,jev-1.13.0
nairaland-0ddb125c62da,not_about_candidate,0.95,0.02,strong,unclear,1.0,0.15,english,0.97,auto,v3,jev-1.13.0
nairaland-88d9a179563e,not_about_candidate,1.0,0.02,calm,unclear,1.0,0.43,english,0.98,auto,v3,jev-1.13.0
nairaland-ef28986bc68e,not_about_candidate,0.94,0.02,strong,unclear,1.0,0.57,mixed,0.68,auto,v3,jev-1.13.0
nairaland-b542fb3cc4c5,not_about_candidate,0.95,0.03,strong,unclear,1.0,0.42,english,0.98,auto,v3,jev-1.13.0
nairaland-b15b8885ca17,not_about_candidate,0.99,0.02,strong,unclear,0.99,0.7,english,0.81,auto,v3,jev-1.13.0
nairaland-8e6df2b2d5fc,not_about_candidate,0.97,0.02,very_strong,unclear,1.0,0.86,mixed,0.44,auto,v3,jev-1.13.0
nairaland-81fec5a643a0,positive,0.6,0.03,strong,unclear,0.89,0.26,english,0.78,human_review,v3,jev-1.13.0
nairaland-f727ce5448de,not_about_candidate,1.0,0.03,calm,unclear,1.0,0.24,english,0.97,auto,v3,jev-1.13.0
nairaland-83e408ee2639,not_about_candidate,0.48,0.07,calm,unclear,1.0,0.25,english,1.0,human_review,v3,jev-1.13.0
nairaland-b15bba52ee09,negative,0.71,0.07,mild,unclear,0.95,0.28,mixed,0.58,human_review,v3,jev-1.13.0
nairaland-866b46cae663,negative,0.23,0.05,strong,unclear,0.85,0.3,mixed,0.64,human_review,v3,jev-1.13.0
nairaland-8b7db3982010,not_about_candidate,0.93,0.02,strong,unclear,1.0,0.27,english,0.96,auto,v3,jev-1.13.0
