lga,apm_votes_2026,winner_2026,margin_note
Bauchi,125170,APM,largest base
Bogoro,25282,APM,narrow — watch
Dambam,19730,APM,narrow — smallest base
Zaki,19984,APM,narrow — watch
Alkaleri,unknown,APM,figure not in spec
Darazo,unknown,APM,figure not in spec
Dass,unknown,APM,figure not in spec
Gamawa,unknown,APM,figure not in spec
Ganjuwa,unknown,APM,figure not in spec
Giade,unknown,APM,figure not in spec
Itas-Gadau,unknown,APM,figure not in spec
Jamaare,unknown,APM,figure not in spec
Katagum,unknown,APM,figure not in spec
Kirfi,unknown,APM,figure not in spec
Misau,unknown,APM,figure not in spec
Ningi,unknown,APM,figure not in spec
Shira,unknown,APM,figure not in spec
Tafawa-Balewa,unknown,APM,figure not in spec
Toro,unknown,APM,figure not in spec
Warji,unknown,APM,figure not in spec
