raw_id,sentiment_label,sentiment_confidence,mentions_candidate_probability,intensity_score,lga_relevance_label,lga_confidence,opposition_signal_probability,language_label,language_confidence,routing_decision,schema_version,model
PILOT-0001,positive,0.99,0.94,mild,Alkaleri,1.0,0.29,english,0.99,auto,v2,jev-1.13.0
PILOT-0002,positive,1.0,0.98,moderate,Alkaleri,1.0,0.29,english,0.98,auto,v2,jev-1.13.0
PILOT-0003,positive,1.0,0.98,moderate,Alkaleri,1.0,0.27,english,0.99,auto,v2,jev-1.13.0
PILOT-0004,negative,0.99,0.92,strong,Alkaleri,1.0,0.5,english,1.0,auto,v2,jev-1.13.0
PILOT-0005,negative,1.0,0.96,strong,Alkaleri,1.0,0.3,english,0.95,auto,v2,jev-1.13.0
PILOT-0006,negative,0.97,0.94,strong,Alkaleri,1.0,0.94,english,0.97,auto,v2,jev-1.13.0
PILOT-0007,neutral,0.9,0.93,calm,Alkaleri,1.0,0.18,english,1.0,auto,v2,jev-1.13.0
PILOT-0008,neutral,0.88,0.94,calm,Alkaleri,1.0,0.17,english,1.0,auto,v2,jev-1.13.0
PILOT-0009,not_about_candidate,1.0,0.02,calm,Alkaleri,1.0,0.06,english,0.99,auto,v2,jev-1.13.0
PILOT-0010,not_about_candidate,0.99,0.03,mild,Alkaleri,1.0,0.08,english,1.0,auto,v2,jev-1.13.0
PILOT-0011,not_about_candidate,1.0,0.02,mild,Alkaleri,1.0,0.09,english,1.0,auto,v2,jev-1.13.0
PILOT-0012,not_about_candidate,1.0,0.02,mild,Alkaleri,1.0,0.08,english,1.0,auto,v2,jev-1.13.0
PILOT-0013,positive,0.6,0.98,calm,Alkaleri,1.0,0.22,hausa,0.6,human_review,v2,jev-1.13.0
PILOT-0014,positive,0.37,0.93,mild,Alkaleri,1.0,0.26,hausa,0.93,human_review,v2,jev-1.13.0
PILOT-0015,negative,0.84,0.95,strong,Alkaleri,1.0,0.49,hausa,0.56,auto,v2,jev-1.13.0
PILOT-0016,negative,0.93,0.96,strong,Alkaleri,1.0,0.44,hausa,0.61,auto,v2,jev-1.13.0
PILOT-0017,negative,0.41,0.89,calm,Alkaleri,1.0,0.85,hausa,0.59,human_review,v2,jev-1.13.0
PILOT-0018,neutral,0.7,0.94,calm,Alkaleri,1.0,0.21,hausa,0.92,human_review,v2,jev-1.13.0
PILOT-0019,not_about_candidate,0.94,0.03,calm,Alkaleri,1.0,0.09,hausa,0.94,auto,v2,jev-1.13.0
PILOT-0020,not_about_candidate,0.71,0.04,mild,Alkaleri,1.0,0.15,hausa,0.95,human_review,v2,jev-1.13.0
PILOT-0021,positive,0.98,0.91,mild,Alkaleri,1.0,0.29,mixed,0.93,auto,v2,jev-1.13.0
PILOT-0022,negative,0.87,0.94,strong,Alkaleri,1.0,0.38,mixed,0.86,auto,v2,jev-1.13.0
PILOT-0023,negative,0.95,0.95,mild,Alkaleri,1.0,0.96,hausa,0.55,auto,v2,jev-1.13.0
PILOT-0024,neutral,0.98,0.91,calm,Alkaleri,1.0,0.18,mixed,0.42,auto,v2,jev-1.13.0
PILOT-0025,not_about_candidate,1.0,0.02,calm,Alkaleri,1.0,0.06,mixed,0.53,auto,v2,jev-1.13.0
PILOT-0026,positive,1.0,0.98,moderate,Bauchi,0.99,0.28,english,0.98,auto,v2,jev-1.13.0
PILOT-0027,positive,1.0,0.99,moderate,Bauchi,0.99,0.27,english,0.98,auto,v2,jev-1.13.0
PILOT-0028,positive,0.99,0.95,mild,Bauchi,0.99,0.31,english,0.99,auto,v2,jev-1.13.0
PILOT-0029,negative,1.0,0.96,strong,Bauchi,0.99,0.37,english,0.99,auto,v2,jev-1.13.0
PILOT-0030,negative,0.99,0.98,strong,Bauchi,1.0,0.55,english,0.93,auto,v2,jev-1.13.0
PILOT-0031,negative,0.99,0.96,moderate,Bauchi,0.99,0.95,english,0.95,auto,v2,jev-1.13.0
PILOT-0032,neutral,0.93,0.92,calm,Bauchi,1.0,0.17,english,1.0,auto,v2,jev-1.13.0
PILOT-0033,neutral,0.96,0.92,calm,Bauchi,1.0,0.16,english,1.0,auto,v2,jev-1.13.0
PILOT-0034,not_about_candidate,1.0,0.02,mild,Bauchi,1.0,0.1,english,1.0,auto,v2,jev-1.13.0
PILOT-0035,not_about_candidate,1.0,0.02,mild,Bauchi,1.0,0.09,english,1.0,auto,v2,jev-1.13.0
PILOT-0036,not_about_candidate,1.0,0.02,calm,Bauchi,0.99,0.05,english,1.0,auto,v2,jev-1.13.0
PILOT-0037,not_about_candidate,0.98,0.03,mild,Bauchi,1.0,0.09,english,1.0,auto,v2,jev-1.13.0
PILOT-0038,positive,0.84,0.98,mild,Bauchi,0.89,0.23,hausa,0.61,auto,v2,jev-1.13.0
PILOT-0039,positive,0.79,0.91,mild,Bauchi,0.96,0.26,hausa,0.95,human_review,v2,jev-1.13.0
PILOT-0040,negative,0.73,0.96,strong,Bauchi,0.97,0.63,hausa,0.47,human_review,v2,jev-1.13.0
PILOT-0041,negative,0.73,0.95,strong,Bauchi,0.97,0.57,hausa,0.59,human_review,v2,jev-1.13.0
PILOT-0042,negative,0.78,0.92,mild,Bauchi,1.0,0.88,hausa,0.65,human_review,v2,jev-1.13.0
PILOT-0043,neutral,0.86,0.92,calm,Bauchi,1.0,0.18,hausa,0.96,auto,v2,jev-1.13.0
PILOT-0044,not_about_candidate,0.94,0.03,calm,Bauchi,0.95,0.08,hausa,0.98,auto,v2,jev-1.13.0
PILOT-0045,not_about_candidate,0.91,0.03,calm,Bauchi,0.91,0.09,hausa,0.98,auto,v2,jev-1.13.0
PILOT-0046,positive,0.99,0.97,mild,Bauchi,0.94,0.25,mixed,0.81,auto,v2,jev-1.13.0
PILOT-0047,negative,0.99,0.96,strong,Bauchi,0.85,0.5,mixed,0.96,auto,v2,jev-1.13.0
PILOT-0048,negative,0.9,0.94,mild,Bauchi,1.0,0.96,hausa,0.47,auto,v2,jev-1.13.0
PILOT-0049,neutral,0.98,0.91,calm,Bauchi,1.0,0.18,mixed,0.46,auto,v2,jev-1.13.0
PILOT-0050,not_about_candidate,1.0,0.02,calm,Bauchi,0.99,0.06,mixed,0.54,auto,v2,jev-1.13.0
PILOT-0051,positive,1.0,0.98,moderate,Bogoro,1.0,0.23,english,0.99,auto,v2,jev-1.13.0
