raw_id,sentiment_label,sentiment_confidence,mentions_candidate_probability,intensity_score,lga_relevance_label,lga_confidence,opposition_signal_probability,language_label,language_confidence,routing_decision,schema_version,model
legit_hausa-b7dea0231602,not_about_candidate,1.0,0.03,calm,unclear,0.98,0.58,hausa,0.7,auto,v3,jev-1.13.0
legit_hausa-522a626dfeab,not_about_candidate,0.99,0.03,calm,unclear,0.82,0.32,hausa,0.64,auto,v3,jev-1.13.0
legit_hausa-c6fda56a81c3,not_about_candidate,0.98,0.03,calm,unclear,0.79,0.56,hausa,0.55,human_review,v3,jev-1.13.0
legit_hausa-6df4e2a91279,not_about_candidate,1.0,0.02,mild,Katagum,1.0,0.11,hausa,0.59,auto,v3,jev-1.13.0
legit_hausa-f6cc63a86bbf,neutral,0.31,0.92,calm,unclear,0.85,0.08,hausa,0.53,human_review,v3,jev-1.13.0
legit_hausa-702feae512b6,neutral,0.93,0.9,calm,unclear,0.75,0.1,hausa,0.6,human_review,v3,jev-1.13.0
legit_hausa-b1f50e9af50c,not_about_candidate,1.0,0.03,moderate,Misau,0.67,0.1,hausa,0.74,human_review,v3,jev-1.13.0
legit_hausa-e36e6f6372aa,not_about_candidate,0.89,0.03,calm,unclear,0.79,0.2,hausa,0.67,human_review,v3,jev-1.13.0
legit_hausa-0eb7338fac2e,not_about_candidate,0.99,0.02,mild,Bauchi,0.6,0.11,hausa,0.4,human_review,v3,jev-1.13.0
legit_hausa-662a30555fe6,positive,0.35,0.99,calm,unclear,0.5,0.06,hausa,0.54,human_review,v3,jev-1.13.0
legit_hausa-f8f32d3ff01a,not_about_candidate,0.73,0.9,calm,unclear,0.99,0.07,hausa,0.55,human_review,v3,jev-1.13.0
legit_hausa-0edf4afe8479,neutral,0.36,0.8,calm,Bauchi,0.39,0.15,hausa,0.79,human_review,v3,jev-1.13.0
legit_hausa-c4b9d825d27d,not_about_candidate,1.0,0.02,moderate,Darazo,1.0,0.32,hausa,0.67,auto,v3,jev-1.13.0
legit_hausa-ce01e395d03d,not_about_candidate,1.0,0.02,mild,Bogoro,1.0,0.05,hausa,0.59,auto,v3,jev-1.13.0
legit_hausa-ca6d6e1ebbee,not_about_candidate,0.7,0.03,calm,Bauchi,0.48,0.12,hausa,0.66,human_review,v3,jev-1.13.0
legit_hausa-6077238f3e10,not_about_candidate,1.0,0.02,calm,Bauchi,0.98,0.04,hausa,0.46,auto,v3,jev-1.13.0
legit_hausa-88b30f58aacc,not_about_candidate,0.99,0.02,mild,Kirfi,1.0,0.06,hausa,0.62,auto,v3,jev-1.13.0
legit_hausa-0b2f252d2640,neutral,0.97,0.98,calm,unclear,0.88,0.41,hausa,0.75,auto,v3,jev-1.13.0
legit_hausa-5bd34da17484,not_about_candidate,0.99,0.02,mild,Katagum,0.97,0.11,hausa,0.54,auto,v3,jev-1.13.0
legit_hausa-70cec7a214ca,not_about_candidate,0.99,0.02,mild,Katagum,0.56,0.13,hausa,0.65,human_review,v3,jev-1.13.0
legit_hausa-b458d89c30c9,not_about_candidate,1.0,0.02,mild,Bauchi,0.58,0.09,hausa,0.66,human_review,v3,jev-1.13.0
legit_hausa-ce7c9a0fa536,not_about_candidate,1.0,0.02,mild,Ningi,1.0,0.04,hausa,0.64,auto,v3,jev-1.13.0
legit_hausa-965c779365e6,not_about_candidate,0.99,0.02,mild,unclear,0.51,0.17,hausa,0.49,human_review,v3,jev-1.13.0
legit_hausa-1cc602999242,not_about_candidate,1.0,0.02,moderate,Katagum,0.97,0.13,hausa,0.51,auto,v3,jev-1.13.0
legit_hausa-1f2dee9e1802,not_about_candidate,0.77,0.03,moderate,Katagum,0.4,0.15,hausa,0.65,human_review,v3,jev-1.13.0
legit_hausa-117b35c0a0ff,not_about_candidate,0.99,0.02,moderate,Ganjuwa,0.64,0.08,hausa,0.69,human_review,v3,jev-1.13.0
legit_hausa-75eec1c0a04a,not_about_candidate,0.39,0.86,moderate,unclear,1.0,0.13,hausa,0.7,human_review,v3,jev-1.13.0
legit_hausa-b55baa1ee477,not_about_candidate,1.0,0.03,moderate,Ganjuwa,0.78,0.07,hausa,0.76,human_review,v3,jev-1.13.0
legit_hausa-1dd466854226,not_about_candidate,0.99,0.07,moderate,Katagum,0.98,0.14,hausa,0.57,auto,v3,jev-1.13.0
legit_hausa-0af8e9017f90,not_about_candidate,1.0,0.02,calm,unclear,0.96,0.07,hausa,0.64,auto,v3,jev-1.13.0
legit_hausa-f0b55150b9f3,not_about_candidate,0.17,0.96,calm,unclear,0.94,0.13,hausa,0.46,human_review,v3,jev-1.13.0
legit_hausa-ee4c95382e9a,not_about_candidate,0.99,0.03,mild,Misau,1.0,0.13,hausa,0.65,auto,v3,jev-1.13.0
legit_hausa-a83fc7cdeed4,neutral,0.42,0.91,calm,unclear,0.69,0.32,hausa,0.61,human_review,v3,jev-1.13.0
legit_hausa-8073e5374457,not_about_candidate,0.89,0.09,moderate,Alkaleri,0.99,0.06,hausa,0.66,auto,v3,jev-1.13.0
legit_hausa-6f70e24ef2fd,not_about_candidate,1.0,0.02,mild,Bauchi,0.77,0.14,hausa,0.74,human_review,v3,jev-1.13.0
legit_hausa-f025a9908416,not_about_candidate,1.0,0.02,mild,Ganjuwa,0.63,0.25,hausa,0.6,human_review,v3,jev-1.13.0
