lga,ward_code,ra_name_source,ra_name_display,source_id,source_url,source_scope,as_of_date,verification_status,review_note
Alkaleri,RA-001,Alkaleri,Alkaleri,source-inec-bauchi-ra-2023,https://inecnigeria.org/wp-content/uploads/2023/01/BAUCHI-1.pdf,electoral_registration_area,2023-01-01,provisional_source_not_directly_downloaded,INEC electoral RA label; confirm current administrative status before describing as a council ward.
Alkaleri,RA-002,Pali,Pali,source-inec-bauchi-ra-2023,https://inecnigeria.org/wp-content/uploads/2023/01/BAUCHI-1.pdf,electoral_registration_area,2023-01-01,provisional_source_not_directly_downloaded,INEC electoral RA label; confirm current administrative status before describing as a council ward.
Alkaleri,RA-003,Gar,Gar,source-inec-bauchi-ra-2023,https://inecnigeria.org/wp-content/uploads/2023/01/BAUCHI-1.pdf,electoral_registration_area,2023-01-01,provisional_source_not_directly_downloaded,INEC electoral RA label; confirm current administrative status before describing as a council ward.
Alkaleri,RA-004,Gwaram,Gwaram,source-inec-bauchi-ra-2023,https://inecnigeria.org/wp-content/uploads/2023/01/BAUCHI-1.pdf,electoral_registration_area,2023-01-01,provisional_source_not_directly_downloaded,INEC electoral RA label; confirm current administrative status before describing as a council ward.
Alkaleri,RA-005,Maimadi,Maimadi,source-inec-bauchi-ra-2023,https://inecnigeria.org/wp-content/uploads/2023/01/BAUCHI-1.pdf,electoral_registration_area,2023-01-01,provisional_source_not_directly_downloaded,INEC electoral RA label; confirm current administrative status before describing as a council ward.
Alkaleri,RA-006,Dan Kungibar,Dan Kungibar,source-inec-bauchi-ra-2023,https://inecnigeria.org/wp-content/uploads/2023/01/BAUCHI-1.pdf,electoral_registration_area,2023-01-01,provisional_source_not_directly_downloaded,INEC electoral RA label; confirm current administrative status before describing as a council ward.
Alkaleri,RA-007,Birin/Gigara/Yankari,Birin/Gigara/Yankari,source-inec-bauchi-ra-2023,https://inecnigeria.org/wp-content/uploads/2023/01/BAUCHI-1.pdf,electoral_registration_area,2023-01-01,provisional_source_not_directly_downloaded,INEC electoral RA label; confirm current administrative status before describing as a council ward.
Alkaleri,RA-008,Yuli/Lim,Yuli/Lim,source-inec-bauchi-ra-2023,https://inecnigeria.org/wp-content/uploads/2023/01/BAUCHI-1.pdf,electoral_registration_area,2023-01-01,provisional_source_not_directly_downloaded,INEC electoral RA label; confirm current administrative status before describing as a council ward.
Alkaleri,RA-009,Futuk,Futuk,source-inec-bauchi-ra-2023,https://inecnigeria.org/wp-content/uploads/2023/01/BAUCHI-1.pdf,electoral_registration_area,2023-01-01,provisional_source_not_directly_downloaded,INEC electoral RA label; confirm current administrative status before describing as a council ward.
Alkaleri,RA-010,Yalo,Yalo,source-inec-bauchi-ra-2023,https://inecnigeria.org/wp-content/uploads/2023/01/BAUCHI-1.pdf,electoral_registration_area,2023-01-01,provisional_source_not_directly_downloaded,INEC electoral RA label; confirm current administrative status before describing as a council ward.
Alkaleri,RA-011,Gwana/Mansur,Gwana/Mansur,source-inec-bauchi-ra-2023,https://inecnigeria.org/wp-content/uploads/2023/01/BAUCHI-1.pdf,electoral_registration_area,2023-01-01,provisional_source_not_directly_downloaded,INEC electoral RA label; confirm current administrative status before describing as a council ward.
Bauchi,RA-012,Majidadi A,Majidadi A,source-inec-bauchi-ra-2023,https://inecnigeria.org/wp-content/uploads/2023/01/BAUCHI-1.pdf,electoral_registration_area,2023-01-01,provisional_source_not_directly_downloaded,INEC electoral RA label; confirm current administrative status before describing as a council ward.
Bauchi,RA-013,Majidadi B,Majidadi B,source-inec-bauchi-ra-2023,https://inecnigeria.org/wp-content/uploads/2023/01/BAUCHI-1.pdf,electoral_registration_area,2023-01-01,provisional_source_not_directly_downloaded,INEC electoral RA label; confirm current administrative status before describing as a council ward.
Bauchi,RA-014,Makama/Sarki Baki,Makama/Sarki Baki,source-inec-bauchi-ra-2023,https://inecnigeria.org/wp-content/uploads/2023/01/BAUCHI-1.pdf,electoral_registration_area,2023-01-01,provisional_source_not_directly_downloaded,INEC electoral RA label; confirm current administrative status before describing as a council ward.
Bauchi,RA-015,Zungur/Liman Katagum,Zungur/Liman Katagum,source-inec-bauchi-ra-2023,https://inecnigeria.org/wp-content/uploads/2023/01/BAUCHI-1.pdf,electoral_registration_area,2023-01-01,provisional_source_not_directly_downloaded,INEC electoral RA label; confirm current administrative status before describing as a council ward.
Bauchi,RA-016,Mun/Munsal,Mun/Munsal,source-inec-bauchi-ra-2023,https://inecnigeria.org/wp-content/uploads/2023/01/BAUCHI-1.pdf,electoral_registration_area,2023-01-01,provisional_source_not_directly_downloaded,INEC electoral RA label; confirm current administrative status before describing as a council ward.
Bauchi,RA-017,Dandango/Yamrat,Dandango/Yamrat,source-inec-bauchi-ra-2023,https://inecnigeria.org/wp-content/uploads/2023/01/BAUCHI-1.pdf,electoral_registration_area,2023-01-01,provisional_source_not_directly_downloaded,INEC electoral RA label; confirm current administrative status before describing as a council ward.
Bauchi,RA-018,Birshi/Miri,Birshi/Miri,source-inec-bauchi-ra-2023,https://inecnigeria.org/wp-content/uploads/2023/01/BAUCHI-1.pdf,electoral_registration_area,2023-01-01,provisional_source_not_directly_downloaded,INEC electoral RA label; confirm current administrative status before describing as a council ward.
Bauchi,RA-019,Kundum/Durum,Kundum/Durum,source-inec-bauchi-ra-2023,https://inecnigeria.org/wp-content/uploads/2023/01/BAUCHI-1.pdf,electoral_registration_area,2023-01-01,provisional_source_not_directly_downloaded,INEC electoral RA label; confirm current administrative status before describing as a council ward.
Bauchi,RA-020,Kangyare/Turwun,Kangyare/Turwun,source-inec-bauchi-ra-2023,https://inecnigeria.org/wp-content/uploads/2023/01/BAUCHI-1.pdf,electoral_registration_area,2023-01-01,provisional_source_not_directly_downloaded,INEC electoral RA label; confirm current administrative status before describing as a council ward.
Bauchi,RA-021,Galambi/Gwaskwaram,Galambi/Gwaskwaram,source-inec-bauchi-ra-2023,https://inecnigeria.org/wp-content/uploads/2023/01/BAUCHI-1.pdf,electoral_registration_area,2023-01-01,provisional_source_not_directly_downloaded,INEC electoral RA label; confirm current administrative status before describing as a council ward.
Bauchi,RA-022,Dan’Iya Hardo,Dan’Iya Hardo,source-inec-bauchi-ra-2023,https://inecnigeria.org/wp-content/uploads/2023/01/BAUCHI-1.pdf,electoral_registration_area,2023-01-01,provisional_source_not_directly_downloaded,INEC electoral RA label; confirm current administrative status before describing as a council ward.
Bauchi,RA-023,Dawaki,Dawaki,source-inec-bauchi-ra-2023,https://inecnigeria.org/wp-content/uploads/2023/01/BAUCHI-1.pdf,electoral_registration_area,2023-01-01,provisional_source_not_directly_downloaded,INEC electoral RA label; confirm current administrative status before describing as a council ward.
Bogoro,RA-024,Bogoro A,Bogoro A,source-inec-bauchi-ra-2023,https://inecnigeria.org/wp-content/uploads/2023/01/BAUCHI-1.pdf,electoral_registration_area,2023-01-01,provisional_source_not_directly_downloaded,INEC electoral RA label; confirm current administrative status before describing as a council ward.
Bogoro,RA-025,Bogoro B,Bogoro B,source-inec-bauchi-ra-2023,https://inecnigeria.org/wp-content/uploads/2023/01/BAUCHI-1.pdf,electoral_registration_area,2023-01-01,provisional_source_not_directly_downloaded,INEC electoral RA label; confirm current administrative status before describing as a council ward.
Bogoro,RA-026,Bogoro C,Bogoro C,source-inec-bauchi-ra-2023,https://inecnigeria.org/wp-content/uploads/2023/01/BAUCHI-1.pdf,electoral_registration_area,2023-01-01,provisional_source_not_directly_downloaded,INEC electoral RA label; confirm current administrative status before describing as a council ward.
