source_id,publisher,source_type,title,url,publication_date,retrieved_date,document_type,source_grade,usage_note,content_hash
source-campaign-home,Dr. Yakubu Adamu Campaign,campaign_site,Dr. Yakubu Adamu for Bauchi State Governor,https://yakubuadamuphd.com/en,2026,2026-09-24,web_page,D,Promises and campaign positioning only,527c462bade3954a2eeaf9ac5a450efcbc8d85925d687f04a59302ef39c0a6b5
source-apm-home,Allied Peoples' Movement,party_site,Allied Peoples' Movement official website,https://apm.org.ng/,2024-06-16,2026-09-24,web_page,A,Brand logo and official party identity,6b162764284fb649f4eec31bba168ee8a643f80b3e572928a86ea54fab2b5ea0
source-basg-health,Bauchi State Government,official_news,UNICEF Offers Free Maternal Child Health Services In Bauchi,https://home.bauchistate.gov.ng/unicef-offers-free-maternal-child-health-services-in-bauchi/,2026-07-02,2026-09-24,web_page,A,Official state service announcement; outcome measures require follow-up,6c220bf30a52c6fe0ef0dbc28ad533f221ce5baa916de2ba896b84b553f9de5c
source-basg-nutrition,Bauchi State Government,official_news,Bauchi Govt UNICEF Commit N1bn To Tackle Malnutrition Distribute Therapeutic Food,https://home.bauchistate.gov.ng/bauchi-govt-unicef-commit-n1bn-to-tackle-malnutrition-distribute-therapeutic-food/,2026-06-30,2026-09-24,web_page,A,Official state news; headline and body funding figures require reconciliation,300f717b322b6910b547060c7f204cfb36b58fac25f32aa9403c1efbfc68e2d7
source-basg-sazu,Bauchi State Government,official_news,NUC Approves 12 New Academic Programmes for Sa'adu Zungur University Bauchi,https://home.bauchistate.gov.ng/nuc-approves-12-new-academic-programmes-for-saadu-zungur-university-bauchi/,2026-07-02,2026-09-24,web_page,A,Official state news; approval is a verified institutional milestone,ecf62fa8877ce68dae211ee657a39b4e884f9759cf46d38bd42aecff00cd11d9
source-acresal,ACReSAL / Bauchi State Government,programme_news,Bauchi State Governor Launches ACReSAL Project Plans to Construct Over 100 Earth Dams Across the State,https://acresal.gov.ng/bauchi-state-governor-launches-acresal-project-plans-to-construct-over-100-earth-dams-across-the-state,2023-05-26,2026-09-24,web_page,B,Programme launch and mobilisation evidence; planned dam count is not completion evidence,dfd14dcf834f182769b536aecb656e1e191ef5bb606a1c0839b7795a16dd899f
source-basg-mtss,Bauchi State Government,official_news,Bauchi Govt Begins Development of 2026-2028 Medium-Term Sector Strategy in Key Service Areas,https://home.bauchistate.gov.ng/bauchi-govt-begins-development-of-2026-2028-medium-term-sector-strategy-in-key-service-areas,2025-08-18,2026-09-24,web_page,A,Planning and performance-framework milestone,2ba07985d03da5d9172f314a3ef01f43308437141b805ede925ee3fb8f6ee53f
source-basg-roads-115,Bauchi State Government,official_project,Bauchi gov inaugurates construction of 115km rural roads,https://www.bauchistate.gov.ng/bauchi-gov-inaugurates-construction-of-115km-rural-roads,2024-08-22,2026-09-24,web_page,A,Official project announcement; construction underway and completion not yet verified,14f58972e9f613fe50f4d9c89c27e80bfd447336a4ca37e757e9f67fe6b32a15
source-basg-kirfi-road,Bauchi State Government,official_project,Gov. Bala Mohammed Flags Off Construction Of N18bn Road In Bauchi Community,https://www.bauchistate.gov.ng/gov-bala-mohammed-flags-off-construction-of-n18bn-road-in-bauchi-community,2024-09-11,2026-09-24,web_page,A,Official project announcement for Kirfi; completion not yet verified,df29078604900403589b95d34e81f460a6b9d2bc718a83c383d2418e4f2a78a1
source-basg-gadau-road,Bauchi State Government,official_project,Governor Bala Flagged Off 2.5km Road Project at Bauchi State University Gadau,https://www.bauchistate.gov.ng/bauchi-state-government-house-press-release-governor-bala-flaged-off-2-5-km-road-project-in-the-state-university-main-campus-gadau/,2023-12-15,2026-09-24,web_page,A,Official project announcement; title and body use 2.5km and 2.6km; completion not verified,44ec944a316acc27f43adbe013a8ec43c4f6a43635035f6ea7556e5373d96052
