raw_id,text,sentiment_label,sentiment_confidence,mentions_candidate_probability,intensity_score,lga_relevance_label,lga_confidence,opposition_signal_probability,language_label,language_confidence,schema_version,model,reviewer_label,reviewer_reasoning,final_label,reviewed_by,reviewed_at
gdelt-4b3fbec050d4,"Beyond the Certificate Debate : Let Bauchi Focus on What Truly Matters - By Yasir Shehu Adam. The media also has a critical responsibility in this process. Investigative journalism is one of the pillars of democracy because it promotes transparency and accountability. However, this responsibility must always be exercised with professionalism, accuracy and fairness. Reports should be balanced, verified and should avoid creating the impression that allegations are already established facts before the legal process has run its course. As the race toward the 2027 Bauchi State governorship election gathers momentum, political debates are becoming louder across the state. One issue that has recently dominated discussions is the controversy surrounding the academic qualifications of the Allied People’s Movement (APM) governorship candidate, Hon. Yakubu Adamu. The issue has generated heated arguments on social media, radio programmes and in newspapers. While public scrutiny is a healthy part of democracy, it is equally important that such discussions are guided by facts, fairness and respect for the rule of law. Nigeria’s Constitution is clear about the educational qualification required to contest the office of Governor. It sets out the minimum constitutional requirement, and where questions arise about a candidate’s eligibility, the appropriate institutions and the courts have the responsibility to interpret and apply the law. Public opinion should never replace due process. Advertisement There is a clear difference between raising legitimate questions and reaching conclusions before the competent authorities have completed their work. Democracy is built on justice, and justice requires evidence, fairness and the right of every individual to be heard. However, beyond this controversy lies a much bigger question: Is this the most important issue facing the people of Bauchi State today? Across our communities, families are struggling with the high cost of living. Many young people remain unemployed despite having qualifications. Farmers are worried about insecurity and the rising cost of agricultural inputs. Parents are concerned about the quality of education available to their children, while many communities continue to face serious challenges in accessing quality healthcare. Advertisement These are the issues that directly affect the lives of ordinary people every day. As citizens, we should ask every governorship candidate practical questions. What is your plan to create jobs? How will you improve education? What solutions do you have for insecurity? How will you strengthen agriculture and support farmers? What will you do differently to improve healthcare, roads and economic opportunities? These questions are far more important than allowing ourselves to become consumed by political controversies that are yet to be conclusively determined by the appropriate authorities. Advertisement Hon. Yakubu Adamu, like every other candidate seeking public office, should be evaluated by the people based on his vision, competence, leadership qualities and proposed solutions to the problems confronting Bauchi State. Every candidate deserves equal treatment under the law and equal opportunity to present his or her ideas before the electorate. The media also has a critical responsibility in this process. Investigative journalism is one of the pillars of democracy because it promotes transparency and accountability. However, this responsibility must always be exercised with professionalism, accuracy and fairness. Reports should be balanced, verified and should avoid creating the impression that allegations are already established facts before the legal process has run its course. At the same time, politicians and their supporters should remain peaceful and respect democratic institutions. Political competition should never divide our people or distract us from our common desire for a better Bauchi State. Advertisement As the election approaches, let us not allow ourselves to be distracted from the issues that truly determine the future of",neutral,0.66,0.98,mild,unclear,0.87,0.14,english,1.0,v3,jev-1.13.0,,,,,
gdelt-665621609e98,"2027 : 19 Candidates Battle For Bauchi Governorship Seat , As INEC Publishes Names",not_about_candidate,0.95,0.08,calm,unclear,0.74,0.15,english,1.0,v3,jev-1.13.0,,,,,
gdelt-554ce9162bb4,"2027 : Appraising Bauchi five - horse guber race , By Kola Oyerinde",not_about_candidate,0.74,0.07,calm,Bauchi,0.52,0.25,english,0.69,v3,jev-1.13.0,,,,,
gdelt-cbac1bedd07b,"Gov Bala declares zero tolerance for violent crimes in Bauchi. Bauchi State Governor, Bala Abdulkadir Mohammed , has declared that perpetrators of violent crimes anywhere in the state will have no hiding place, as the government intensifies efforts to safeguard the lives and property of innocent, law-abiding citizens. The Governor made the declaration during a condolence visit to the family of late Rilwanu Dauda, who was stabbed to death by political thugs over campaign billboards and posters of a political party and candidate in Karofin-Madaki within Bauchi metropolis. Bala Mohammed reaffirmed his administration’s commitment to maintaining law and order across the state in order to safeguard the lives and property of innocent citizens. He described the incident as a tragic loss and assured the bereaved family that justice would be pursued without fear or favour but through due process, and that anyone found culpable would face the full weight of the law. ALSO READ: US launches ‘powerful’ strikes against Iran Bala Mohammed condemned the killing in strong terms, stressing that no individual has the right to take the law into his or her own hands. The Governor noted that while Bauchi State has continued to intensify efforts to combat banditry and other security threats affecting some rural communities, his administration is equally determined to address criminal activities within the state capital and other urban areas to guarantee the safety of all residents. He called on citizens to remain law-abiding and avoid resorting to violence in resolving disputes, urging members of the public to cooperate with security agencies by providing credible information that would aid ongoing investigations and strengthen crime prevention efforts. The Governor also prayed for the repose of the soul of the deceased, asking Almighty Allah to forgive his shortcomings, grant him Aljannatul Firdaus, and give his family the strength and patience to bear the painful loss. He assured them that the government would not relent in ensuring that those responsible for the killing, and anyone connected to it, are apprehended and made to face the law. Responding on behalf of the family, a representative of the late Rilwanu thanked the Governor for the visit and for the support extended to them in their moment of grief. The Governor was accompanied on the condolence visit by top government officials and other stakeholders, who joined him in offering prayers for the late Rilwanu Dauda and expressing the Bauchi State Government’s sympathy with the bereaved family. In the same vein, the governorship candidate of the Allied Peoples Movement (APM) in Bauchi State, Dr. Yakubu Adamu, paid a condolence visit to the bereaved family, expressing sympathy over the loss and praying for Allah to grant him repose. During the visit, Adamu condemned the incident, describing it as unfortunate and unacceptable, and assured the family that justice must prevail. He stressed the need for the authorities to ensure that those responsible are identified and prosecuted in accordance with the law. Recall that yet-to-be-arrested individuals, believed to be political thugs, allegedly stabbed Ustaz Ridwan (Rilwanu) Dauda, a resident of Karofin-Madaki, around the JEDCO transformer in Bauchi metropolis, to death. Reports from the area indicate that the incident occurred on Sunday following a heated argument with the thugs over the posting of a politician’s poster on a building. A resident of the area told our correspondent that the late Ridwan had told a man not to paste the poster on the wall of their building, but the man refused and insisted on doing so. It was further gathered that the political thug called a colleague who came to the scene and proceeded to paste the poster, resulting in a heated argument. The resident said it was at that point that one of the thugs brought out a dagger, stabbed the late Ridwan in the chest, and fled. Residents rushed out, picked him up, and took him to hospital, but he died on the way. Another resident who spoke to",neutral,0.9,0.99,moderate,Bauchi,0.49,0.13,english,1.0,v3,jev-1.13.0,,,,,
gdelt-fb1a46a9d408,"Bauchi 2027 : Rat race among old , new , incumbent. The race to occupy the Governor’s Office of Bauchi State in 2027 has heightened as the major and other political parties have concluded the nomination of their candidates as recently displayed by the Independent National Electoral Commission (INEC). In this piece, Our Bauchi State Correspondent, ISHOLA MICHAEL , previews the race. Bauchi 2027 guber race: Who is best for the job?  With the parties’ primaries over, gubernatorial candidates have emerged for the political parties in Bauchi State, therefore setting the stage for the battle of who becomes the fifth elected governor of the State since the return of democratic governance in 1999. Each of the gubernatorial candidates has a unique thing which he is banking on as he pursues his ambition of emerging victorious and they can be assessed based on such unique features and political popularity and contributions over the years. He served as the third democratically elected Governor of Bauchi State in 2015 after the expiration of the tenure of Mal Isa Yuguda. In 2019, he was defeated by the incumbent, Sen Bala Mohammed, following his fallout with political leaders of the State led by the then Speaker of the House of Representatives, Barr Yakubu Dogara. In his four years, he got more opposition than supporters due to unresolved political disagreement making the stakeholders to turn their backs against him. He was a lone ranger during the 2019 general election making him to lose even after the runoff election. Since then, he has remained silent politically, he did not contest in 2023 because the APC then did not consider him politically ready for a reelection, the party’s ticket was given to Air Marshall Saddique Baba Abubakar (rtd) who eventually lost to Mohammed. But in the ongoing political process, Abubakar, SAN expressed interest in coming back for a second tenure after eight years of absence, a development that was met with stiff opposition from members of the APC who accused him being dormant and out of reach since losing in 2019. ALSO READ: Tinubu’s govt will meet January deadline on FCT projects completion — Wike He was able to get support of the Coordinating Minister of Health and Social Welfare, Prof Mohammed Ali Pate, who convinced the national leadership of the APC under chairman, Prof Nentawe Yilwatda who ensured that he got the gubernatorial ticket with ease. Against the wish of other aspirants, he was declared winner of the party primaries through perceived consensus which other aspirants alleged did not take place, though the outcome stands as his candidature has been affirmed and uploaded on the Independent National Electoral Commission’s (INEC) 2027 elections portal. Though the home base support is not enthusiastic and strong due to the circumstances surrounding his candidature, his strongest point of strength is in the federal might. He is a first timer in terms of contesting election; he is from Giade local government area, part of Bauchi North Senatorial District, the area that last produced the first civilian Governor of former Bauchi State in 1979, late Abubakar Tatari Ali. Before he won the gubernatorial ticket of the APM, he served as the Commissioner of Finance and Economic Development. His strength is the support of the Governor, Sen Bala Abdulkadir Mohammed, who is trying to break the jinx of installing a successor. His strength is that he is a young man, relying on the young people population in the state to pull through the election and emerge victorious, his main strength however is the goodwill and love of the governor, who is loved by the people of Bauchi State owing to the development of the state by his administration. He is not new to contesting as he once contested under the banner of the New Nigeria Peoples Party (NNPP) after failing to secure the ticket of the APC then.  He was the Speaker of Bauchi State House Assembly before he was elected as member of the House of Representatives after which he was also elected as a Senator. His strength",neutral,0.61,0.89,mild,Giade,0.98,0.29,english,1.0,v3,jev-1.13.0,,,,,
gdelt-e8ee027e0199,"2027 : Bauchi PDP rejects alliance with APM , dismisses rival faction. The Peoples Democratic Party (PDP) in Bauchi State has rejected any alliance or collaboration with the Allied Peoples Movement (APM), dismissing the reported merger of a rival faction of the party into the APM. The PDP State Chairman, Ibrahim Kashim Toro, stated this on Tuesday while addressing journalists at the party’s secretariat along Maiduguri Road in Bauchi. Toro said the faction that announced the move to the APM was no longer part of the legitimate PDP in the state, alleging that its members had been expelled before the latest development. “As you can see, every member of the PDP is here, there is no other PDP anywhere in Bauchi State. Those who left are not legitimate members of the PDP because they had been expelled long before now,” he said. He maintained that his faction remained the authentic PDP in Bauchi State, citing various court judgments in support of its position. The chairman said the party had fielded candidates for all elective positions ahead of the 2027 general elections, adding that their names had been uploaded on the Independent National Electoral Commission (INEC) portal. “We are the PDP and we have fielded candidates for all elective offices in the 2027 general elections. INEC has since uploaded our candidates on its portal as displayed,” he said. Toro said the PDP would participate fully in the 2027 elections and disclosed that the party would soon commence its statewide campaign. He urged party members across the state to disregard the announcement by the rival faction and intensify mobilisation for the party’s candidates ahead of the elections. The party’s Legal Adviser, Yahaya Garkuwa, also maintained that the Toro-led faction was the authentic PDP in the state, citing various court judgments in support of the position. He said the party remained intact in Bauchi State and had no plan to join or collaborate with the APM.",negative,0.7,0.74,calm,Bauchi,0.71,0.59,english,1.0,v3,jev-1.13.0,,,,,
gdelt-036e4158acb0,"Bauchi PDP Rejects Alliance With APM , Dismisses Rival Faction - Latest News In Nigeria , Nigeria News Today , Your Online Nigerian Newspaper. The Peoples Democratic Party (PDP) in Bauchi State has firmly rejected any alliance with the Allied Peoples Movement (APM), dismissing claims of a merger involving a rival faction. Speaking at the party’s secretariat along Maiduguri Road in Bauchi on Tuesday, PDP State Chairman Ibrahim Kashim Toro declared that the faction which announced a move to the APM was no longer part of the legitimate PDP, having been expelled earlier. “Every member of the PDP is here. There is no other PDP in Bauchi State. Those who left are not legitimate members because they had been expelled long before now,” Toro said. He emphasized that his faction remains the authentic PDP in Bauchi, citing multiple court judgments to back the claim. Toro added that the party has already fielded candidates for all elective positions ahead of the 2027 general elections, with their names uploaded on the Independent National Electoral Commission (INEC) portal. The chairman assured members that the PDP would fully participate in the elections and announced that statewide campaigns would soon commence. He urged supporters to ignore the rival faction’s announcement and intensify mobilisation for the party’s candidates.Backing Toro’s position, PDP Legal Adviser Yahaya Garkuwa reiterated that the faction under Toro’s leadership is the legitimate PDP in Bauchi. He stressed that the party remains intact and has no plans to collaborate with the APM.",negative,0.81,0.79,mild,Bauchi,0.78,0.68,english,1.0,v3,jev-1.13.0,,,,,
gdelt-97ff05f7a285,"Bye - elections : How APC won 4 seats , APM one. •Yilwatda commends INEC, security agencies •APC’s votes spread in bye-elections significant for 2027 race – Keyamo By Jimitota Onoyume, Omeiza Ajayi, Ben Ngwakwe, Hadiza Yusuf & Christopher Ameh THE All Progressives Congress, APC, had the upper hand in Saturday’s bye-elections across four states of Delta, Kano, Bauchi and Gombe, winning four of the five slots contested. The Allied People’s Movement, APM, won one slot in Bauchi. Okolosi of APC wins Udu state assembly seat in Delta In Delta, Mr. Ator Okolosi of the APC emerged the winner of the House of Assembly bye-election for Udu state Constituency According to the result by the Independent National Electoral Commission, INEC, Okolosi,  who had 8,724 votes, defeated his closest rival of the Peoples Democratic Party, PDP, George Orugbo who scored 212 votes.  Omovie Esther of the APM had 33 votes. APC chairman commends INEC, security agencies. The APC also won the Dawakin Kudu/Warawa State Constituency bye-election in Kano State, with its candidate, Hussaini Yusuf Datti, securing 22,890 votes. Datti emerged winner ahead of the other candidates who contested the election. The results showed that the PDP polled 180 votes, while the Peoples Redemption Party, PRP, received 270 votes. The Action Peoples Party, APP, recorded 53 votes, while the Labour Party , LP, secured 39 votes. In Gombe, the APC, candidate, Engr. Usman Maijama’a Kallamu, won the Gombe/Kwami/Funakaye Federal Constituency bye-election Kallamu emerged victorious after polling 41,121 votes to defeat candidates of the other political parties that participated in the election. The bye-election was conducted by the Independent National Electoral Commission, INEC, to fill the vacant seat in the House of Representatives following the death of the former member representing the constituency, Hon. Yaya Bauchi Tongo. According to the results announced by INEC, a total of 47,301 votes were cast in the election, while 46,551 votes were declared valid and 750 votes were rejected. In Bauchi, the APC and APM shared the two state assembly seats -Disina State Constituency of Shira Local Government Area and the Sakwa State Constituency of Zaki Local Government Area. In Disina, the APC candidate, Yakubu Ali, won with 5,846 votes, defeating his APM counterpart, who polled 5,225 votes. However, the APM secured victory in Sakwa, where its candidate, Adamu Yakubu, recorded 8,515 votes against the APC candidate’s 3,771 votes. The two vacancies arose from separate circumstances. The Sakwa seat became vacant following the death of the former lawmaker, Hon. Mohammad Wanzam Zaki, while the Disina seat was declared vacant after the incumbent legislator resigned to contest a local government chairmanship election. National Chairman of the APC, Prof. Nentawe Yilwatda, commended the INEC and security agencies for their roles in the conduct of the five legislative bye-elections, in which the ruling party won four of the contested seats. Yilwatda, in a statement issued via his X handle, congratulated the four APC candidates who emerged victorious in the bye-elections conducted by INEC. He named the winners as Kallamu Usman MaiJama’a of Gombe/Kwami/Funakaye Federal Constituency, Gombe State;  Husseini Datti of Dawakin Kudu State Constituency, Kano State;  Okolosi Ator of Udu State Constituency, Delta State; and Yakubu Ali of Disina State Constituency, Bauchi State. “These victories reflect the confidence placed in our candidates and the APC by the electorate,” the APC Yilwatda also praised the electoral umpire and other stakeholders for ensuring a credible process. “I also commend INEC, the security agencies and all stakeholders for their roles in the conduct of the elections,” he stated. Addressing the victorious candidates directly, the national chairman urged them to see their wins as a call to service. “To our victorious candidates, this  victory is a call to service. I urge you to remain humble and committed to delivering purposeful representati",neutral,0.97,0.89,mild,Shira,0.62,0.63,english,1.0,v3,jev-1.13.0,,,,,
gdelt-673e7fa5409a,"PDP denies collapse into APM , threatens legal action. BAUCHI — THE Peoples Democratic Party (PDP) in Bauchi State has dismissed reports that its structure has collapsed into the Allied Peoples Movement (APM), describing the claim as false and alleging that it was being spread by individuals impersonating party officials. The party’s Legal Adviser in the state, Yahaya Garkuwa, stated this on Tuesday at a press conference held at the PDP secretariat along Maiduguri Bypass, Bauchi. Garkuwa said the PDP recognised by law in Bauchi State remained the faction led by Hon. Ibrahim Kashim Toro, while the national leadership was headed by Abdulrahman Mohammed. He said the leadership dispute within the party had been the subject of several court cases, adding that successive judicial pronouncements had affirmed the leadership structure backed by the Bauchi PDP. According to him, the Federal High Court affirmed the Abdulrahman Mohammed-led caretaker committee as the authentic national leadership of the party. He said the faction led by Tanimu Turaki subsequently appealed the judgment, but the Court of Appeal upheld the leadership of Mohammed at the national level and that of Ibrahim Kashim Toro in Bauchi State. “Dissatisfied with the decision, the Tanimu Turaki faction went to the Court of Appeal where the Appeal Court still confirmed the leadership of the PDP under Abdulrahman Mohammed, and in Bauchi State under Hon. Ibrahim’s leadership,” Garkuwa said. He added that the matter was eventually taken to the Supreme Court, which, according to him, ruled in favour of the faction led by Mohammed. “At the Supreme Court, judgment was given in our favour where the Supreme Court said the Tanimu Turaki faction is not known by law, that only the PDP under Abdulrahman Mohammed is known by law, while here in Bauchi State, the PDP known by law is the one under Honourable Ibrahim,” he said. Garkuwa alleged that members of the rival faction had resorted to impersonation and the spread of what he described as false information after exhausting their legal options. “Now that they don’t have anywhere to go by the judgment of the Supreme Court, they now started impersonating that they are leaders of the PDP. And as they don’t have where to stay, they decided to create confusion to tell the public that the PDP structure has collapsed into APM,” he said. The legal adviser insisted that the PDP had neither joined the APM nor any other political party, saying the party remained intact. “We, the authentic members of the PDP, are still in the PDP. We have not joined any other political party; we still remain in the PDP,” he added. Garkuwa further disclosed that the Bauchi State PDP leadership was preparing to take legal action against individuals allegedly parading themselves as officials of the party. He urged members of the public to disregard reports of the party’s alleged collapse, insisting that the PDP recognised by law remained under the current state leadership. “You can see that we are the only PDP members whose candidates’ names were published by INEC ahead of the 2027 general elections,” he said. He also challenged the rival faction to produce evidence of the candidates it intended to field under the PDP platform. “If they are truly members of the PDP, let them name their candidates. They don’t have candidates,” Garkuwa said. He assured party supporters that the PDP remained politically active in the state and was preparing for the 2027 general elections. “PDP is not collapsing into any political party. PDP is still standing, PDP is still strong and is fully prepared for the 2027 general elections,” he said. The press conference was attended by the state PDP chairman, other party officials, stakeholders and supporters. Comments expressed here do not reflect the opinions of Vanguard newspapers or any employee thereof. Subscribe to our digital E-Editions here, and enjoy access to the exact replica of Vanguard Newspapers publications.",negative,0.54,0.8,moderate,Bauchi,0.76,0.69,english,1.0,v3,jev-1.13.0,,,,,
gdelt-a350ad4a9e19,"2027 : APM Names Ibrahim Bala as Running Mate to Makinde for Presidential Election - Latest News In Nigeria , Nigeria News Today , Your Online Nigerian Newspaper. The Allied Peoples’ Movement (APM) has officially named Ibrahim Adamu Bala as the running mate to its presidential candidate, Governor Seyi Makinde of Oyo State, ahead of the 2027 presidential election. Details published on the Independent National Electoral Commission (INEC) candidate nomination portal confirmed Bala’s nomination. At 51, Bala hails from Bauchi State, giving the party a South-North presidential ticket. A senior APM official, speaking on condition of anonymity, explained that Makinde had completed the submission of his nomination with Bala as his vice-presidential candidate. “You cannot submit your presidential nomination without a running mate. The nomination has been filed,” the source said. The official dismissed speculation linking the choice to Bauchi State Governor Bala Mohammed, clarifying that the vice-presidential candidate is Ibrahim Adamu Bala, not Mohammed. “There is no connection at all. They only have similar names. The running mate is Ibrahim Adamu Bala, not Bala Mohammed. I laughed when I saw the report because I knew people would confuse the two,” the source added. Makinde, currently serving his second and final term as governor of Oyo State, declared his presidential ambition on May 14 at a joint rally organised by his faction of the Peoples Democratic Party (PDP) and the APM at Mapo Hall in Ibadan. The declaration followed a Memorandum of Understanding signed between the PDP faction and the APM at the PDP South-West Zonal Secretariat. On May 30, Makinde formally accepted the APM presidential ticket, pledging to tackle insecurity, unemployment, hunger, and the rising cost of living if elected. He also promised to decentralise Nigeria’s security architecture, granting states greater powers to address local challenges. The confirmation of Bala’s nomination on the INEC portal cements the Makinde-Bala ticket, positioning the APM to contest the presidency with a South-North balance as the 2027 general elections draw closer.",neutral,0.32,0.79,calm,unclear,0.96,0.15,english,1.0,v3,jev-1.13.0,,,,,
