achievement_id,actor,lga,sector,project_or_programme,project_or_programme_ha,description,description_ha,status,status_ha,date,beneficiaries,budget_or_scale,outcome_measure,outcome_measure_ha,source_id,evidence_grade,verification_status,verification_status_ha
achievement-maternal-services,UNICEF and Bauchi State Government,Statewide,health,Maternal and child health services,Lafiya ta iyali da yara,Free maternal and child health services were offered across more than 600 primary healthcare facilities in Bauchi.,An bayar da kiyaye lafiya ta iyali da yara a cikin fiye da 600 na asibotin baƙin kafiya na farke a Bauchi.,Project underway,Aiki yana ci gaba,2026-07-02,Caregivers and children in Bauchi,More than 600 primary healthcare facilities; weeklong free MNCH services,Reach and utilisation to be measured,An sani yadda za a isa da sauƙin amfani.,source-basg-health,A,Publicly announced; outcome follow-up required,An wallafa a sarai; ana buƙatar bin sakamako
achievement-nutrition-partnership,UNICEF and Bauchi State Government,Statewide,health,Malnutrition response,Ciwon suji,The government and UNICEF announced a nutrition intervention and therapeutic food distribution.,Gwamnati da UNICEF sun sanar da shirin ciwon suji da rarraba abinci mai wuyawa.,Project underway,Aiki yana ci gaba,2026-06-30,Children and caregivers facing malnutrition,Source headline and body report different funding figures,Children reached and therapeutic food distributed to be measured,An sani yadda yarawa da yafi ke isa da abinci ya rarraba.,source-basg-nutrition,A,Publicly announced; source figure requires reconciliation; outcome follow-up required,An wallafa a sarai; adadin sauro yana buƙatar daidaitawa; ana buƙatar bin sakamako
achievement-sazu-programmes,NUC and Bauchi State Government,Statewide,education,Sa'adu Zungur University academic expansion,Ci gaba na ilimi a Jami'ar Sa'adu Zungur,NUC approved 12 new academic programmes for Sa'adu Zungur University.,NUC ta amince da sabon shirin karatama 12 a Jami'ar Sa'adu Zungur.,Approval milestone,Matsayin amincewa,2026-07-02,Students and academic staff,12 programmes,12 approved academic programmes; measure programme rollout enrolment and completion,An amince da shirin karatama 12; auna fara da cizawar dalibi da kammawa.,source-basg-sazu,A,Verified approval milestone; programme delivery is not yet verified,Alamar amincewa da aka tabbatar; isar da shirin ba a tabbatar da ita ba
achievement-acresal-launch,ACReSAL / Bauchi State Government,Statewide,wash,ACReSAL climate-resilience programme,Shirin ACReSAL na tsayawa kan sauroyi,The programme was launched in Bauchi with community mobilisation reported in 7 LGAs.,An farar da shirin a Bauchi kuma an ba da bayan wayewa a cikin LGA 7.,Project underway,Aiki yana ci gaba,2023-05-26,Communities in participating LGAs,12 community interest groups reported,Community groups mobilised and water assets completed to be tracked,An sani an wayewa al'umma kuma an kammala kayan ruwa.,source-acresal,B,Public programme milestone; outcome follow-up required,Alamar shirin da aka wallafa; ana buƙatar bin sakamako
achievement-sector-framework,Bauchi State Government with UNICEF support,Statewide,governance,2026-2028 Medium-Term Sector Strategy,Shirin Tsaro na Sashe na 2026-2028,The state began developing a sector strategy for education health agriculture and WASH.,Jihada ta fara shirin tsarin masu'antu na ilimi lafiya noma da WASH.,Project underway,Aiki yana ci gaba,2025-08-18,Sector ministries and communities,Four focus sectors,Published strategy with performance indicators to be verified,An tabbatar da shirin tare da bayanan aunawa.,source-basg-mtss,A,Public planning milestone,Alamar tsarewa da aka wallafa
achievement-raamp-roads,Bauchi State Government / RAAMP partners,Statewide,infrastructure,RAAMP rural access roads,Hanya na karkara na RAAMP,The state began RAAMP rural access road works alongside the 115km in the second section.,Jihada ta fara ayyukan hanya na karkara na RAAMP tare da karkashin 115km a cikin sashen da ke biyu.,Project underway,Aiki yana ci gaba,2024-08-22,Communities in three senatorial zones,115km; N2.4bn counterpart funding; over N23bn awarded as reported,Road completion functionality and agricultural market access to be measured,An aunawa cikakken hanya da aiki da damar zuwa kasuwa.,source-basg-roads-115,A,Flag-off and funding announced; completion not yet verified,An fa'atar aiki an kuma ba da rahotar kuɗi; kammawa ba a tabbatar da ita ba
achievement-kirfi-road,Bauchi State Government,Kirfi,infrastructure,Kirfi rural access road,Hanya na karkara ta Kirfi,"The 38km Kirfi rural access road was flagged off, with a reported N18bn federation contribution.",An fara aikin 38km na hanya ta karkara a Kirfi tare da kudin kungiyar kowane N18bn da aka faatar.,Project underway,Aiki yana ci gaba,2024-09-11,Kirfi communities,38km; approximately N18bn reported by source,Road completion and community access to be measured,An aunawa kammawar hanya da damar al'umma.,source-basg-kirfi-road,A,Project flagged off; completion not yet verified,An fa'atar aikin; kammawa ba a tabbatar da ita ba
achievement-gadau-road,Bauchi State Government,Itas-Gadau,infrastructure,Sa'adu Zungur University campus road,Hanya na jami'a a Gadau,"Construction of the in-campus road, excluding the 2.5km section at the main campus in Gadau; the source body gives 2.6km.",An fara aikin hanya na ciki da kusan 2.5km a jami'ar Sa'adu Zungur; wasu bayanai na cikin ƙananin yana nuna 2.6km.,Project underway,Aiki yana ci gaba,2023-12-15,University campus community,2.5km title and 2.6km body reference,Road completion and campus access to be measured,An aunawa kammawar hanya da damar zuwa jami'a.,source-basg-gadau-road,A,Ground-breaking recorded; title and body length differ; completion not verified,An yin horar yasa; tsayin da cikin sauro sun bambanta; kammawa ba a tabbatar da ita ba
achievement-cibs,UK Government / UNICEF / Bauchi State Government,Statewide,education,CRIBS Phase II basic services upgrades,CRIBS Phase II na sabis na asali,Phase II selected 15 primary schools and nine primary healthcare centres across five LGAs for climate-resilient upgrades.,Phase II ya zaɓi makaranta 15 da asibotin kafiya 9 a cikin LGA 5 don ingantawa mai hankali da yanayi.,Project underway,Aiki yana ci gaba,2026-05-12,Darazo Itas-Gadau Gamawa Katagum and Shira LGAs,24 facilities: 15 schools and 9 health centres,Upgraded facilities water solar systems and tree planting to be measured,An aunawa ingantawa da sauƙin amfani.,source-cibs,B,Project launch and beneficiary selection verified; upgrade completion not yet verified,An tabbatar da fara aikin da zaɓar masu amfani; kammawa na haɓawa ba a tabbatar da ita ba
achievement-alkaleri-roads,Alkaleri Local Government and Bauchi State Government,Alkaleri,infrastructure,Alkaleri road rehabilitation and RAAMP upgrade,Hanya ta Alkaleri,The official LGA page reports completion of the 56km Dindima-Yashi-Mainamaji road and upgrading of the 25.8km Mainamaji-Badara-Kuka-Pali road.,Shafiyar LGA ta ba da rahotar cewa an kammata hanya 56km ta Dindima-Yashi-Mainamaji kuma an inganta hanya 25.8km ta Mainamaji-Badara-Kuka-Pali.,Progress delivered,An ci gaba da isar haɗi,2025-10-02,Alkaleri communities,56km rehabilitation completed; 25.8km upgrade reported,Road functionality and market access to be measured,Za a aunawa aiki na hanya da damar kasuwa.,source-alkaleri-lga,A,Official LGA report; usage and economic outcomes require follow-up,Rahotar LGA ta hukumu; amfani da sakamako na tana suna buƙatar bita
